player,games,inning,not_outs,total_runs,balls_faced,ave,strike_rate,hundreds,fifties,fours,sixes
Wiaan Claasens,1,1,1,80,60,,133.3333333,0,1,4,3
Dominic Torreto,1,1,0,28,30,28,93.33333333,0,0,2,1
Wynand Smith,1,1,0,20,19,20,105.2631579,0,0,1,0
AB De Kock,1,1,0,3,8,3,37.5,0,0,0,0
Dwayne Miller,1,1,1,1,2,,50,0,0,0,0
Rudy Rothman,1,1,0,0,2,0,0,0,0,0,0
Ashwin Adams,1,0,,0,0,,,0,0,0,0
Bad Brad,1,0,,0,0,,,0,0,0,0
Dirk Steyn,1,0,,0,0,,,0,0,0,0
Morne Donald,1,0,,0,0,,,0,0,0,0
Shane Warner,1,0,,0,0,,,0,0,0,0
